allegiance,baseSize,battlefieldRole,description,faction,id,modelUpgrades,models,name,points,specialRuleValues,specialRules,traits,upgrades,wargear
Universal,5,Command,A Troop Master leading a line command section with Veterans.,solar-auxilia,line-command-section,"{""troop-master-model"":[""troop-master-weapon-upgrade-group"",""troop-master-pistol-options"",""troop-master-weapon-additions"",""troop-master-wargear-options""],""veteran-model"":[""veteran-weapon-upgrade-group"",""veteran-sabre-upgrade-group"",""veteran-pistol-options"",""veteran-weapon-additions"",""veteran-wargear-options""]}","{""troop-master-model"":1,""veteran-model"":4}",Line Command Section,65,,"[]","[""[Allegiance]"",""Solar Auxilia""]","[""additional-veterans-upgrade""]","[]"
Universal,10,Troops,An Auxilia Sergeant leading a lasrifle section with Auxiliaries.,solar-auxilia,lasrifle-section,"{""auxilia-sergeant-model"":[""auxilia-sergeant-weapon-upgrade-group"",""auxilia-sergeant-pistol-options"",""auxilia-sergeant-weapon-additions""],""auxiliary-model"":[""auxiliary-weapon-additions"",""auxiliary-wargear-options""]}","{""auxilia-sergeant-model"":1,""auxiliary-model"":9}",Lasrifle Section,50,"{""line"":1}","[""line""]","[""[Allegiance]"",""Solar Auxilia"",""Infantry Tercio""]","[""additional-auxiliaries-upgrade""]","[]"
Universal,2,Reconnaissance,"A squadron of fast, lightly armored walkers used for reconnaissance and forward observation.",solar-auxilia,hermes-light-sentinel-squadron,"{""hermes-light-sentinel-model"":[""hermes-light-sentinel-weapon-upgrade-group""]}","{""hermes-light-sentinel-model"":2}",Hermes Light Sentinel Squadron,32,,"[]","[""[Allegiance]"",""Solar Auxilia""]","[""additional-hermes-light-sentinels-upgrade""]","[]"
Universal,1,Fast Attack,A fast strike fighter designed for aerial combat and ground attack missions.,solar-auxilia,primaris-lightning-strike-fighter,"{""primaris-lightning-model"":[]}","{""primaris-lightning-model"":1}",Primaris-Lightning Strike Fighter,160,,"[]","[""[Allegiance]"",""Solar Auxilia"",""Interceptor""]","[]","[]"
Universal,1,Fast Attack,A heavy fighter aircraft designed for aerial combat and ground attack missions.,solar-auxilia,thunderbolt-heavy-fighter,"{""thunderbolt-model"":[]}","{""thunderbolt-model"":1}",Thunderbolt Heavy Fighter,120,,"[]","[""[Allegiance]"",""Solar Auxilia""]","[]","[]"
Universal,1,Armour,A heavy tank designed for battlefield dominance and firepower projection.,solar-auxilia,malcador-heavy-tank,"{""malcador-model"":[""malcador-turret-weapon-upgrade-group"",""malcador-hull-weapon-upgrade-group"",""malcador-pintle-weapon-upgrade-group"",""malcador-wargear-upgrade-group"",""malcador-sponson-weapon-upgrade-group""]}","{""malcador-model"":1}",Malcador Heavy Tank,180,,"[]","[""[Allegiance]"",""Solar Auxilia"",""Smokescreen""]","[]","[]"
Universal,1,Armour,A special weapons tank armed with an infernus cannon for devastating flame attacks.,solar-auxilia,malcador-infernus-special-weapons-tank,"{""malcador-infernus-model"":[""malcador-infernus-sponson-weapon-upgrade-group"",""malcador-infernus-pintle-weapon-upgrade-group"",""malcador-infernus-wargear-upgrade-group""]}","{""malcador-infernus-model"":1}",Malcador Infernus Special Weapons Tank,215,,"[]","[""[Allegiance]"",""Solar Auxilia"",""Smokescreen""]","[]","[]"
Universal,1,Armour,A specialized tank destroyer armed with a neutron beam laser for anti-armour operations.,solar-auxilia,valdor-tank-destroyer,"{""valdor-tank-destroyer-model"":[""valdor-sponson-weapon-upgrade-group"",""valdor-pintle-weapon-upgrade-group"",""valdor-wargear-upgrade-group""]}","{""valdor-tank-destroyer-model"":1}",Valdor Tank Destroyer,190,,"[]","[""[Allegiance]"",""Solar Auxilia"",""Smokescreen""]","[]","[]"
Universal,1,Lord of War,A super-heavy assault tank armed with multiple weapons for devastating firepower.,solar-auxilia,stormhammer-super-heavy-assault-tank,"{""stormhammer-model"":[""stormhammer-hull-front-weapon-upgrade-group"",""stormhammer-hull-side-weapon-upgrade-group"",""stormhammer-pintle-weapon-upgrade-group"",""stormhammer-wargear-upgrade-group""]}","{""stormhammer-model"":1}",Stormhammer Super-Heavy Assault Tank,500,,"[]","[""[Allegiance]"",""Solar Auxilia"",""Smokescreen""]","[]","[]"
Universal,2,Support,A rapier gunner operating a rapier carrier with a gravis multi-laser battery.,solar-auxilia,rapier-section,"{""rapier-gunner-model"":[],""rapier-carrier-model"":[""rapier-carrier-weapon-upgrade-group""]}","{""rapier-gunner-model"":1,""rapier-carrier-model"":1}",Rapier Section,30,,"[]","[""[Allegiance]"",""Solar Auxilia""]","[""additional-rapier-crews-upgrade""]","[]"
Universal,1,Support,A heavy artillery tank equipped with a medusa mortar for close-range bombardment.,solar-auxilia,medusa-artillery-tank,"{""medusa-model"":[""medusa-pintle-weapon-upgrade-group"",""medusa-wargear-upgrade-group""]}","{""medusa-model"":1}",Medusa Artillery Tank,140,,"[]","[""[Allegiance]"",""Solar Auxilia"",""Smokescreen""]","[]","[]"
Universal,1,Armour,A versatile main battle tank armed with a battle cannon for general combat.,solar-auxilia,leman-russ-strike-tank,"{""leman-russ-strike-model"":[""leman-russ-strike-turret-weapon-upgrade-group"",""leman-russ-strike-hull-weapon-upgrade-group"",""leman-russ-strike-pintle-weapon-upgrade-group"",""leman-russ-strike-wargear-upgrade-group""]}","{""leman-russ-strike-model"":1}",Leman Russ Strike Tank,140,,"[]","[""[Allegiance]"",""Solar Auxilia"",""Smokescreen""]","[]","[]"
Universal,1,Armour,A heavily armored assault tank armed with volkite macro-saker for close-range combat.,solar-auxilia,leman-russ-assault-tank,"{""leman-russ-assault-model"":[""leman-russ-assault-turret-weapon-upgrade-group"",""leman-russ-assault-hull-weapon-upgrade-group"",""leman-russ-assault-pintle-weapon-upgrade-group"",""leman-russ-assault-wargear-upgrade-group""]}","{""leman-russ-assault-model"":1}",Leman Russ Assault Tank,140,,"[]","[""[Allegiance]"",""Solar Auxilia"",""Smokescreen""]","[]","[]"
Universal,5,Command,An Ordnance Master leading a command section with Veterans.,solar-auxilia,artillery-command-section,"{""ordnance-master-model"":[""ordnance-master-weapon-upgrade-group"",""ordnance-master-pistol-options"",""ordnance-master-weapon-additions""],""veteran-model"":[""artillery-veteran-wargear-options"",""artillery-veteran-weapon-additions""]}","{""ordnance-master-model"":1,""veteran-model"":4}",Artillery Command Section,65,,"[]","[""[Allegiance]"",""Solar Auxilia"",""Artillery Tercio""]","[""additional-artillery-veterans-upgrade""]","[]"
Universal,1,Command,A Command Tank leading armored warfare operations.,solar-auxilia,armoured-command-section,"{""command-tank-model"":[""command-tank-turret-weapon-upgrade-group"",""command-tank-hull-weapon-upgrade-group"",""command-tank-pintle-weapon-upgrade-group"",""command-tank-hunter-killer-missile-upgrade-group"",""command-tank-wargear-upgrade-group""]}","{""command-tank-model"":1}",Armoured Command Section,150,,"[]","[""[Allegiance]"",""Solar Auxilia"",""Armoured Tercio"",""Smokescreen""]","[]","[]"
Universal,5,High Command,A Legatine Marshall leading a command section with Lifeward bodyguards.,solar-auxilia,legatine-command-section,"{""legatine-marshall-model"":[""legatine-marshall-melee-weapons"",""legatine-marshall-pistol-options""],""lifeward-model"":[""lifeward-weapon-upgrade-group"",""lifeward-sabre-upgrade-group"",""lifeward-pistol-options"",""lifeward-wargear-options""]}","{""legatine-marshall-model"":1,""lifeward-model"":4}",Legatine Command Section,125,,"[]","[""[Allegiance]"",""Solar Auxilia"",""Cohort Supreme Command""]","[""additional-lifewards-upgrade""]","[]"
Universal,5,Command,An Auxilia Captain leading a tactical command section with Companions.,solar-auxilia,tactical-command-section,"{""auxilia-captain-model"":[""auxilia-captain-melee-weapons"",""auxilia-captain-pistol-options""],""companion-model"":[""companion-weapon-upgrade-group"",""companion-sabre-upgrade-group"",""companion-pistol-options"",""companion-weapon-additions"",""companion-wargear-options""]}","{""auxilia-captain-model"":1,""companion-model"":4}",Tactical Command Section,100,"{""officer-of-the-line"":2}","[""officer-of-the-line""]","[""[Allegiance]"",""Solar Auxilia""]","[""additional-companions-upgrade""]","[]"
